,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하,지역
1242,서울 중구 00동,500, 45 개, 44 개,1 대,4000 만원,450,20,35000,-선택사항- ,-선택사항-     ,4000,35000,45,450,20,41,35000,470,150,2.6,3.1,4.3,18816,18816,18816,1752,1568,1291,13584,11376,8052,1132,948,671,38,32,23,중구
1243,서울 중구 00동,290, 25 개, 25 개,00 대,1억 만원,370,0,2억,-선택사항- ,-선택사항-     ,10000,20000,25,370,0,41,20000,370,83,3.2,4.0,6.3,10452,10452,10452,973,871,717,6240,5016,3168,520,418,264,31,25,15,중구
1244,서울 구로구 00동,320, 35 개, 29 개,00 대,8천 만원,400,0,1억6천,-선택사항- ,-선택사항-     ,8000,16000,35,400,0,36,16000,400,116,2.0,2.4,3.6,12852,12852,12852,1197,1071,882,8172,6660,4392,681,555,366,51,41,27,구로구
1245,서울 관악구 봉천동,300, 37 개, 7 개,1 대,8천 만원,310,20,합1억5천,-선택사항- ,-선택사항-     ,8000,15000,37,310,20,33,15000,330,123,1.8,2.1,3.1,12444,12444,12444,1159,1037,854,8472,7008,4812,706,584,401,56,46,32,관악구
1246,서울 종로구 00동,340, 33 개, 33 개,1 대,6000 만원,360,40,3억3천만,1호선 종각역,-선택사항-     ,6000,33000,33,360,40,42,33000,400,110,3.4,4.1,6.0,14136,14136,14136,1316,1178,970,9672,8016,5520,806,668,460,29,24,16,종로구
1247,서울 강남구 00동,496, 50 개, 30 개,2 대,1억5천만 만원,950,100,3억8천만,2호선 강남역,-선택사항-     ,15000,38000,50,950,100,48,38000,1050,166,3.0,3.8,6.8,24480,24480,24480,2280,2040,1680,12768,9888,5568,1064,824,464,33,26,14,강남구
1248,서울 중랑구 상봉,390, 30 개, 큰30 개,1 대,5천 만원,350,30,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,350,30,32,27000,380,100,5.2,6.7,11.7,9792,9792,9792,912,816,672,5184,4032,2304,432,336,192,19,14,8,중랑구
1249,서울 마포구 00동,고시원 ,  개,  개,00 대,3150 만원,550,0,36000,-선택사항- ,-선택사항-     ,3150,36000,0,550,0,40,36000,550,100,6.1,8.1,15.8,12240,12240,12240,1140,1020,840,5880,4440,2280,490,370,190,16,12,6,마포구
1250,서울 동작구 동작동,440, 24 개, 큰24 개,1 대,8천 만원,280,30,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,30,38,24000,310,80,4.2,5.2,8.1,9300,9300,9300,866,775,638,5712,4620,2976,476,385,248,23,19,12,동작구
1251,서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50,42,19000,630,183,1.1,1.4,2.0,23556,23556,23556,2194,1963,1617,16572,13800,9648,1381,1150,804,87,72,50,종로구
1252,서울 강동구 성내동,144.05, 30 개, 2 개,00 대,3000 만원,200,3,8000,-선택사항- ,-선택사항-     ,3000,8000,30,200,3,38,8000,203,100,0.9,1.0,1.3,11628,11628,11628,1083,969,798,9360,7992,5940,780,666,495,117,99,74,강동구
1253,서울 구로구 구로동,360, 40 개, 26 개,1 대,4천 만원,370,30,합1억7천,-선택사항- ,-선택사항-     ,4000,17000,40,370,30,36,17000,400,133,1.7,2.1,3.0,14688,14688,14688,1368,1224,1007,10020,8292,5688,835,691,474,58,48,33,구로구
1254,서울 서초구 서초동,370, 28 개, 28 개,1 대,7천 만원,490, 50만 ,합2억2천,-선택사항- ,-선택사항-     ,7000,22000,28,490,50,45,22000,540,93,3.3,4.2,7.4,12852,12852,12852,1197,1071,882,6768,5256,2988,564,438,249,30,23,13,서초구
1255,서울 관악구 00동,340, 37 개, 11 개,00 대,8000 만원,330,0,15000,-선택사항- ,-선택사항-     ,8000,15000,37,330,0,33,15000,330,123,1.8,2.1,3.1,12444,12444,12444,1159,1037,854,8472,7008,4812,706,584,401,56,46,32,관악구
1256,서울 서초구 00동,. ,  개,  개,00 대, 만원, . ,0,3억2천,-선택사항- ,-선택사항-     ,0,32000,0,0,0,45,32000,0,100,2.3,2.5,3.2,13764,13764,13764,1282,1147,944,14184,12564,10128,1182,1047,844,44,39,31,서초구
1257,서울 관악구 00동,330, 36 개, 25 개,00 대,4000 만원,450,0,2억,-선택사항- ,-선택사항-     ,4000,20000,36,450,0,33,20000,450,120,3.0,3.8,6.4,12108,12108,12108,1128,1009,831,6696,5268,3132,558,439,261,33,26,15,관악구
1258,서울 광진구 00동,. ,  개,  개,00 대, 만원,440,0,2억,-선택사항- ,-선택사항-     ,0,20000,0,440,0,39,20000,440,100,2.9,3.7,6.0,11928,11928,11928,1111,994,819,6852,5448,3348,571,454,279,34,27,16,광진구
1259,서울 광진구 00동,328,  개,  개,00 대, 만원,580,0,2억,-선택사항- ,-선택사항-     ,0,20000,0,580,0,39,20000,580,100,3.9,5.3,12.0,11928,11928,11928,1111,994,819,5172,3768,1668,431,314,139,25,18,8,광진구
1260,서울 동작구 00동,. ,  개,  개,00 대, 만원,392,0,2억2천,-선택사항- ,-선택사항-     ,0,22000,0,392,0,38,22000,392,100,3.1,3.8,6.0,11628,11628,11628,1083,969,798,7092,5724,3672,591,477,306,32,26,16,동작구
1261,서울 관악구 봉천동,254.6, 35 개, 35 개,2 대,3천 만원,390, 포함 ,1억8천,-선택사항- ,-선택사항-     ,3000,18000,35,390,0,33,18000,390,116,2.5,3.2,5.0,11772,11772,11772,1097,981,808,7092,5700,3624,591,475,302,39,31,20,관악구
1262,서울 송파구 가락동,118.83, 26 개, 15 개,3 대,4천 만원,320, 23만원 ,1억4천,-선택사항- ,-선택사항-     ,4000,14000,26,320,23,42,14000,343,86,1.9,2.3,3.5,11136,11136,11136,1037,928,764,7296,5988,4020,608,499,335,52,42,28,송파구
1263,서울 강동구 성내동,176.22, 35 개, 35 개,1 대,5천 만원,605, 포함 ,3억,-선택사항- ,-선택사항-     ,5000,30000,35,605,0,38,30000,605,116,4.6,6.1,12.0,13560,13560,13560,1263,1130,930,6504,4908,2508,542,409,209,21,16,8,강동구
1264,서울 송파구 00동,385.27, 43 개,  개,00 대,6000 만원,475, 90만원 ,17000,-선택사항- ,-선택사항-     ,6000,17000,43,475,90,42,17000,565,143,1.4,1.7,2.5,18420,18420,18420,1715,1535,1264,12084,9924,6672,1007,827,556,71,58,39,송파구
1265,서울 동작구 00동,334, 31 개, 31 개,없음 대,4000 만원,392, 포함 ,22000,-선택사항- ,-선택사항-     ,4000,22000,31,392,0,38,22000,392,103,2.9,3.6,5.6,12012,12012,12012,1119,1001,824,7488,6072,3948,624,506,329,34,27,17,동작구
1266,서울 성북구 00동,1179.42,  개,  개,00 대,15000 만원,1500,0,15000,-선택사항- ,-선택사항-     ,15000,15000,0,1500,0,37,15000,1500,100,-2.3,-1.9,-1.5,11316,11316,11316,1054,943,777,-6552,-7884,-9876,-546,-657,-823,-43,-52,-65,성북구
1267,서울 중구 00동,157.52, 28 개, 28 개,없음 대,4500 만원,396, 없음 ,17500,-선택사항- ,-선택사항-     ,4500,17500,28,396,0,41,17500,396,93,2.4,3.0,4.6,11700,11700,11700,1090,975,803,7212,5832,3768,601,486,314,41,33,21,중구
1268,서울 동작구 00동,345.6, 44 개, 23 개,00 대,5000 만원,500, 문의 ,13000,-선택사항- ,-선택사항-     ,5000,13000,44,500,0,38,13000,500,146,1.2,1.4,2.1,17052,17052,17052,1588,1421,1170,11304,9300,6288,942,775,524,86,71,48,동작구
1269,서울 종로구 00동,420, 44 개, 11 개,00 대,4200 만원,496, 문의 ,15200,-선택사항- ,-선택사항-     ,4200,15200,44,496,0,42,15200,496,146,1.1,1.4,1.9,18840,18840,18840,1755,1570,1293,13356,11136,7812,1113,928,651,87,73,51,종로구
1270,서울 광진구 00동,115.14, 36 개,  개,00 대,2500 만원,300, 없슴 ,6500,-선택사항- ,-선택사항-     ,2500,6500,36,300,0,39,6500,300,120,0.6,0.7,1.0,14316,14316,14316,1333,1193,982,10956,9276,6744,913,773,562,168,142,103,광진구
1271,서울 강서구 00동,280, 30 개, 30 개,00 대,3천 만원,300,40,1억4천,-선택사항- ,-선택사항-     ,3000,14000,30,300,40,34,14000,340,100,2.2,2.7,4.3,10404,10404,10404,969,867,714,6348,5124,3288,529,427,274,45,36,23,강서구
1272,서울 영등포구 00동,300, 31 개,  개,00 대,3500 만원,350,0,26000,-선택사항- ,-선택사항-     ,3500,26000,31,350,0,38,26000,350,103,3.3,4.0,5.8,12012,12012,12012,1119,1001,824,7992,6576,4452,666,548,371,30,25,17,영등포구
1273,서울 강서구 00동,100평 , 35 개,  개,00 대,3000 만원,290,0,11000,-선택사항- ,-선택사항-     ,3000,11000,35,290,0,34,11000,290,116,1.3,1.5,2.1,12132,12132,12132,1130,1011,833,8688,7260,5124,724,605,427,78,66,46,강서구
1274,서울 동작구 00동,124.86, 25 개, 21 개,없음 대,3000 만원,255, 없음 ,18000,-선택사항- ,-선택사항-     ,3000,18000,25,255,0,38,18000,255,83,2.7,3.2,4.6,9684,9684,9684,902,807,665,6768,5628,3924,564,469,327,37,31,21,동작구
1275,서울 강남구 00동,100평 , 32 개,  개,00 대,4000 만원,250,0,6500,-선택사항- ,-선택사항-     ,4000,6500,32,250,0,48,6500,250,106,0.5,0.6,0.8,15660,15660,15660,1459,1305,1075,13236,11388,8628,1103,949,719,203,175,132,강남구
1276,서울 중구 00동,320,  개,  개,00 대, 만원,700,0,3억2천,-선택사항- ,-선택사항-     ,0,32000,0,700,0,41,32000,700,100,7.2,10.9,43.7,12540,12540,12540,1168,1045,861,4416,2940,732,368,245,61,13,9,2,중구
1277,서울 동작구 00동,217, 33 개,  개,00 대,3000 만원,200,0,6500,-선택사항- ,-선택사항-     ,3000,6500,33,200,0,38,6500,200,110,0.6,0.7,1.0,12780,12780,12780,1191,1065,877,10572,9060,6804,881,755,567,162,139,104,동작구
1278,서울 동작구 00동,295, 33 개,  개,00 대,4000 만원,530,0,22000,-선택사항- ,-선택사항-     ,4000,22000,33,530,0,38,22000,530,110,3.3,4.3,7.7,12780,12780,12780,1191,1065,877,6612,5100,2844,551,425,237,30,23,12,동작구
1279,서울 영등포구 00동,385.27, 43 개,  개,00 대,6000 만원,470,90,16000,-선택사항- ,-선택사항-     ,6000,16000,43,470,90,38,16000,560,143,1.6,1.9,3.0,16656,16656,16656,1552,1388,1143,10188,8220,5280,849,685,440,63,51,33,영등포구
1280,서울 영등포구 00동,320, 40 개,  개,00 대,5천 만원,370,30,1억6천,-선택사항- ,-선택사항-     ,5000,16000,40,370,30,38,16000,400,133,1.5,1.8,2.5,15504,15504,15504,1444,1292,1064,10932,9108,6372,911,759,531,68,56,39,영등포구
1281,서울 강남구 00동,246,  개,  개,00 대,5500 만원,480,0,18000,-선택사항- ,-선택사항-     ,5500,18000,0,480,0,48,18000,480,100,1.9,2.3,3.5,14688,14688,14688,1368,1224,1007,9456,7728,5124,788,644,427,52,42,28,강남구
1282,서울 마포구 00동,50평 , 20 개,  개,00 대,2000 만원,150,0,5500,-선택사항- ,-선택사항-     ,2000,5500,20,150,0,40,5500,150,66,0.8,1.0,1.3,8160,8160,8160,760,680,560,6528,5568,4128,544,464,344,118,101,75,마포구
1283,서울 동작구 00동,330, 35 개, 35 개,00 대,1억5천 만원,470,30,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30,38,32000,500,116,4.1,5.2,8.5,13560,13560,13560,1263,1130,930,7764,6168,3768,647,514,314,24,19,11,동작구
1284,서울 노원구 00동,280,  개,  개,00 대,4000 만원,280,20,4000,-선택사항- ,-선택사항-     ,4000,4000,0,280,20,36,4000,300,100,0.5,0.6,0.9,11016,11016,11016,1026,918,756,7512,6216,4272,626,518,356,187,155,106,노원구
1285,서울 중랑구 00동,150,  개,  개,00 대,3000 만원,190, 5만 ,7500,-선택사항- ,-선택사항-     ,3000,7500,0,190,5,32,7500,195,100,1.0,1.2,1.7,9792,9792,9792,912,816,672,7404,6252,4524,617,521,377,98,83,60,중랑구
1286,서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0,38,21000,510,110,3.1,3.9,6.8,12780,12780,12780,1191,1065,877,6852,5340,3084,571,445,257,32,25,14,동작구
1287,서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0,38,28000,550,116,3.9,5.0,8.8,13560,13560,13560,1263,1130,930,7164,5568,3168,597,464,264,25,19,11,강동구
1288,서울 관악구 00동,", ",  개,  개,00 대, 만원, ,None,5억,-선택사항- ,-선택사항-     ,0,50000,0,0,0,33,50000,0,100,5.0,5.6,7.0,10092,10092,10092,940,841,693,10080,8892,7116,840,741,593,20,17,14,관악구
1289,서울 금천구 00동,60평 ,  개,  개,00 대,1500 만원,150,0,7500,-선택사항- ,-선택사항-     ,1500,7500,0,150,0,38,7500,150,100,0.8,0.9,1.1,11628,11628,11628,1083,969,798,9996,8628,6576,833,719,548,133,115,87,금천구
1290,서울 강남구 00동,85평 ,  개,  개,00 대,4000 만원,275,0,26000,-선택사항- ,-선택사항-     ,4000,26000,0,275,0,48,26000,275,100,2.2,2.6,3.4,14688,14688,14688,1368,1224,1007,11916,10188,7584,993,849,632,45,39,29,강남구
1291,서울 강남구 00동,40평 ,  개,  개,00 대,3000 만원,260,0,8000,-선택사항- ,-선택사항-     ,3000,8000,0,260,0,48,8000,260,100,0.7,0.8,1.0,14688,14688,14688,1368,1224,1007,12096,10368,7764,1008,864,647,151,129,97,강남구
1292,서울 서초구 00동,150평 ,  개,  개,00 대,13000 만원,800,0,45000,-선택사항- ,-선택사항-     ,13000,45000,0,800,0,45,45000,800,100,9.8,15.2,85.2,13764,13764,13764,1282,1147,944,4584,2964,528,382,247,44,10,6,1,서초구
1293,서울 마포구 00동,295, 29 개,  개,00 대,4000 만원,330,0,25000,-선택사항- ,-선택사항-     ,4000,25000,29,330,0,40,25000,330,96,3.1,3.7,5.4,11832,11832,11832,1102,986,812,8112,6720,4632,676,560,386,32,26,18,마포구
1294,서울 서대문구 00동,240, 36 개,  개,00 대,3600 만원,450,0,21000,-선택사항- ,-선택사항-     ,3600,21000,36,450,0,39,21000,450,120,2.3,2.8,4.2,14316,14316,14316,1333,1193,982,9156,7476,4944,763,623,412,43,35,23,서대문구
1295,서울 동작구 00동,420, 53 개,  개,00 대,4000 만원,500,0,21000,-선택사항- ,-선택사항-     ,4000,21000,53,500,0,38,21000,500,176,1.4,1.7,2.4,20532,20532,20532,1913,1711,1409,14844,12420,8796,1237,1035,733,70,59,41,동작구
1296,서울 금천구 00동,198, 29 개,  개,00 대,1500 만원,150, 없음 ,7500,-선택사항- ,-선택사항-     ,1500,7500,29,150,0,38,7500,150,96,0.8,0.9,1.2,11232,11232,11232,1046,936,771,9600,8280,6300,800,690,525,128,110,84,금천구
1297,서울 서대문구 00동,238.78, 41 개,  개,없음 대,3600 만원,450, 없음 ,20000,-선택사항- ,-선택사항-     ,3600,20000,41,450,0,39,20000,450,136,1.8,2.2,3.1,16308,16308,16308,1519,1359,1119,11196,9276,6396,933,773,533,55,46,31,서대문구
1298,서울 도봉구 00동,297.38, 45 개,  개,00 대,7000 만원,320, 없음 ,11500,-선택사항- ,-선택사항-     ,7000,11500,45,320,0,32,11500,320,150,1.1,1.3,1.8,14688,14688,14688,1368,1224,1007,10776,9048,6444,898,754,537,93,78,56,도봉구
1299,서울 관악구 봉천동,440, 37 개, 7 개,1 대,8천 만원,330,20,권리금7천,-선택사항- ,-선택사항-     ,8000,7000,37,330,20,33,7000,350,123,0.9,1.0,1.5,12444,12444,12444,1159,1037,854,8232,6768,4572,686,564,381,117,96,65,관악구
1300,서울 구로구 구로동,360, 40 개, 26 개,1 대,4천 만원,380,20,합1억7천,-선택사항- ,-선택사항-     ,4000,17000,40,380,20,36,17000,400,133,1.7,2.1,3.0,14688,14688,14688,1368,1224,1007,10020,8292,5688,835,691,474,58,48,33,구로구
1301,서울 동작구 동작동,440, 24 개, 24 개,1 대,8천 만원,280,20,2억7천,-선택사항- ,-선택사항-     ,8000,27000,24,280,20,38,27000,300,80,4.6,5.7,8.7,9300,9300,9300,866,775,638,5832,4740,3096,486,395,258,21,17,11,동작구
1302,서울 중랑구 상봉동,360, 30 개, 30 개,1 대,5천 만원,380,30,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,380,30,32,27000,410,100,5.6,7.4,13.9,9792,9792,9792,912,816,672,4824,3672,1944,402,306,162,17,13,7,중랑구
1303,서울 구로구 00동,340, 40 개, 27 개,1 대,4000 만원,380,0,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0,36,17000,380,133,1.7,2.0,2.9,14688,14688,14688,1368,1224,1007,10260,8532,5928,855,711,494,60,50,34,구로구
1304,서울 송파구 00동,330, 38 개, 28 개,1 대,6000 만원,430,0,19500,-선택사항- ,-선택사항-     ,6000,19500,38,430,0,42,19500,430,126,1.7,2.0,2.9,16272,16272,16272,1516,1356,1117,11520,9600,6732,960,800,561,59,49,34,송파구
1305,서울 중구 00동,500, 45 개, 44 개,1 대,4000 만원,450,20,35000,-선택사항- ,-선택사항-     ,4000,35000,45,450,20,41,35000,470,150,2.6,3.1,4.3,18816,18816,18816,1752,1568,1291,13584,11376,8052,1132,948,671,38,32,23,중구
1306,서울 동작구 노량진동,. ,  개,  개,00 대,5000 만원,460,0,2억6000,-선택사항- ,-선택사항-     ,5000,26000,0,460,0,38,26000,460,100,4.1,5.3,9.1,11628,11628,11628,1083,969,798,6276,4908,2856,523,409,238,24,18,10,동작구
1307,서울 성동구 하왕십리동,. ,  개,  개,00 대,5000 만원,486,0,1억2000,-선택사항- ,-선택사항-     ,5000,12000,0,486,0,38,12000,486,100,2.0,2.6,4.7,11628,11628,11628,1083,969,798,5964,4596,2544,497,383,212,49,38,21,성동구
1308,서울 강동구 00동,370, 57 개,  개,00 대,5000 만원,330,0,13000,-선택사항- ,-선택사항-     ,5000,13000,57,330,0,38,13000,330,190,0.7,0.8,1.1,22092,22092,22092,2057,1841,1516,18444,15852,11952,1537,1321,996,141,121,91,강동구
1309,서울 강동구 00동,260, 30 개,  개,00 대,3000 만원,350,0,12000,-선택사항- ,-선택사항-     ,3000,12000,30,350,0,38,12000,350,100,1.6,1.9,2.9,11628,11628,11628,1083,969,798,7596,6228,4176,633,519,348,63,51,34,강동구
1310,서울 강동구 00동,70평 ,  개,  개,00 대,3000 만원,200,0,8000,-선택사항- ,-선택사항-     ,3000,8000,0,200,0,38,8000,200,100,0.9,1.0,1.3,11628,11628,11628,1083,969,798,9396,8028,5976,783,669,498,117,100,74,강동구
1311,서울 강동구 00동,440, 32 개,  개,00 대,4300 만원,380,0,21000,-선택사항- ,-선택사항-     ,4300,21000,32,380,0,38,21000,380,106,2.6,3.2,4.8,12396,12396,12396,1155,1033,851,8028,6564,4380,669,547,365,38,31,20,강동구
1312,서울 송파구 가락동,. ,  개,  개,00 대,3000 만원,214, 없음 ,5000,-선택사항- ,-선택사항-     ,3000,5000,0,214,0,42,5000,214,100,0.5,0.6,0.7,12852,12852,12852,1197,1071,882,10596,9084,6816,883,757,568,211,181,136,송파구
1313,서울 강서구 00동,323, 40 개,  개,00 대,3천 만원,320,20,1억1천,-선택사항- ,-선택사항-     ,3000,11000,40,320,20,34,11000,340,133,1.1,1.3,1.9,13872,13872,13872,1292,1156,951,9828,8196,5736,819,683,478,89,74,52,강서구
1314,서울 서대문구 00동,202.31, 34 개,  개,00 대,5000 만원,270,50,19000,-선택사항- ,-선택사항-     ,5000,19000,34,270,50,39,19000,320,113,1.9,2.3,3.2,13524,13524,13524,1259,1127,928,9912,8328,5940,826,694,495,52,43,31,서대문구
1315,서울 관악구 00동,320, 38 개,  개,00 대,4천 만원,420,30,2억,-선택사항- ,-선택사항-     ,4000,20000,38,420,30,33,20000,450,126,2.7,3.4,5.5,12780,12780,12780,1191,1065,877,7380,5868,3612,615,489,301,36,29,18,관악구
1316,서울 구로구 00동,265, 30 개,  개,00 대,3천 만원,220,30,1억3천,-선택사항- ,-선택사항-     ,3000,13000,30,220,30,36,13000,250,100,1.6,1.9,2.7,11016,11016,11016,1026,918,756,8112,6816,4872,676,568,406,62,52,37,구로구
1317,서울 동작구 00동,328, 35 개, 35 개,00 대,1억5천 만원,470,30,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30,38,32000,500,116,4.1,5.2,8.5,13560,13560,13560,1263,1130,930,7764,6168,3768,647,514,314,24,19,11,동작구
1318,서울 강동구 00동,313, 30 개, 30 개,00 대,5천 만원,370,30,3억3천,-선택사항- ,-선택사항-     ,5000,33000,30,370,30,38,33000,400,100,4.7,5.9,9.2,11628,11628,11628,1083,969,798,6996,5628,3576,583,469,298,21,17,10,강동구
1319,서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0,38,28000,550,116,3.9,5.0,8.8,13560,13560,13560,1263,1130,930,7164,5568,3168,597,464,264,25,19,11,강동구
1320,서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0,38,21000,510,110,3.1,3.9,6.8,12780,12780,12780,1191,1065,877,6852,5340,3084,571,445,257,32,25,14,동작구
1321,서울 영등포구 00동,317, 39 개,  개,00 대,3천 만원,190,20,1억8천,-선택사항- ,-선택사항-     ,3000,18000,39,190,20,38,18000,210,130,1.4,1.6,2.2,15108,15108,15108,1407,1259,1037,12804,11028,8364,1067,919,697,71,61,46,영등포구
1322,서울 강동구 00동,422, 50 개,  개,00 대,7천 만원,420,30,2억1천,-선택사항- ,-선택사항-     ,7000,21000,50,420,30,38,21000,450,166,1.5,1.8,2.5,19380,19380,19380,1805,1615,1330,14268,11988,8568,1189,999,714,67,57,40,강동구
1323,서울 동작구 00동,430, 24 개, 24 개,00 대,8천 만원,300,0,2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,300,0,38,24000,300,80,4.1,5.1,7.8,9300,9300,9300,866,775,638,5832,4740,3096,486,395,258,24,19,12,동작구
1324,서울 구로구 00동,462, 41 개, 41 개,3 대,5천 만원,420,30,4억1천,-선택사항- ,-선택사항-     ,5000,41000,41,420,30,36,41000,450,136,4.2,5.1,7.6,15048,15048,15048,1402,1254,1033,9792,8016,5364,816,668,447,23,19,13,구로구
1325,서울 동작구 00동,330, 32 개, 32 개,00 대,4천 만원,290,0,2억8천,-선택사항- ,-선택사항-     ,4000,28000,32,290,0,38,28000,290,106,3.1,3.7,5.1,12396,12396,12396,1155,1033,851,9108,7644,5460,759,637,455,32,27,19,동작구
1326,서울 영등포구 00동,384.94, 34 개,  개,없음 대,7000 만원,380, 없음 ,16000,-선택사항- ,-선택사항-     ,7000,16000,34,380,0,38,16000,380,113,1.8,2.2,3.2,13176,13176,13176,1227,1098,904,8808,7260,4932,734,605,411,55,45,30,영등포구
1327,서울 동작구 00동,. ,  개,  개,00 대, 만원,392,0,2억2천,-선택사항- ,-선택사항-     ,0,22000,0,392,0,38,22000,392,100,3.1,3.8,6.0,11628,11628,11628,1083,969,798,7092,5724,3672,591,477,306,32,26,16,동작구
1328,서울 관악구 00동,340, 37 개, 11 개,00 대,8000 만원,330,0,15000,-선택사항- ,-선택사항-     ,8000,15000,37,330,0,33,15000,330,123,1.8,2.1,3.1,12444,12444,12444,1159,1037,854,8472,7008,4812,706,584,401,56,46,32,관악구
1329,서울 송파구 00동,330, 38 개, 28 개,1 대,6000 만원,430,0,19500,-선택사항- ,-선택사항-     ,6000,19500,38,430,0,42,19500,430,126,1.7,2.0,2.9,16272,16272,16272,1516,1356,1117,11520,9600,6732,960,800,561,59,49,34,송파구
1330,서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0,38,15000,390,116,1.7,2.0,2.9,13560,13560,13560,1263,1130,930,9084,7488,5088,757,624,424,60,49,33,영등포구
1331,서울 송파구 00동,160, 25 개,  개,00 대,3000 만원,195,0,4200,-선택사항- ,-선택사항-     ,3000,4200,25,195,0,42,4200,195,83,0.5,0.6,0.8,10704,10704,10704,997,892,735,8628,7368,5484,719,614,457,205,175,130,송파구
1332,서울 광진구 00동,328.6,  개,  개,00 대, 만원,580,0,2억,-선택사항- ,-선택사항-     ,0,20000,0,580,0,39,20000,580,100,3.9,5.3,12.0,11928,11928,11928,1111,994,819,5172,3768,1668,431,314,139,25,18,8,광진구
1333,서울 서대문구 00동,238.78, 37 개, 37 개,00 대, 만원,495, 없음 ,2억,-선택사항- ,-선택사항-     ,0,20000,37,495,0,39,20000,495,123,2.2,2.7,4.3,14712,14712,14712,1370,1226,1010,9024,7296,4704,752,608,392,45,36,23,서대문구
1334,서울 강동구 00동,113평 ,  개,  개,00 대,5000 만원,330,0,14000,-선택사항- ,-선택사항-     ,5000,14000,0,330,0,38,14000,330,100,1.8,2.2,3.2,11628,11628,11628,1083,969,798,7836,6468,4416,653,539,368,55,46,31,강동구
1335,서울 강동구 길동,240.3, 28 개, 17 개,X 대,3천 만원,264, 없음 ,1억7천,-선택사항- ,-선택사항-     ,3000,17000,28,264,0,38,17000,264,93,2.2,2.6,3.7,10848,10848,10848,1010,904,744,7836,6564,4644,653,547,387,46,38,27,강동구
1336,서울 성북구 00동,423.14, 38 개, 36 개,00 대,4천 만원,480, 없음 ,2억9천,-선택사항- ,-선택사항-     ,4000,29000,38,480,0,37,29000,480,126,3.3,4.1,6.4,14340,14340,14340,1335,1195,984,8748,7068,4536,729,589,378,30,24,15,성북구
1337,서울 종로구 00동,313.08, 39 개, 9 개,00 대,7천 만원,590, 없음 ,1억,-선택사항- ,-선택사항-     ,7000,10000,39,590,0,42,10000,590,130,1.0,1.2,2.0,16704,16704,16704,1556,1392,1146,10032,8064,5112,836,672,426,100,80,51,종로구
1338,서울 성북구 00동,287, 47 개,  개,00 대, 만원,150,0,13000,-선택사항- ,-선택사항-     ,0,13000,47,150,0,37,13000,150,156,0.8,0.9,1.2,17736,17736,17736,1652,1478,1217,16152,14064,10932,1346,1172,911,124,108,84,성북구
1339,서울 강동구 00동,260, 32 개,  개,00 대,350 만원,403,0,12000,-선택사항- ,-선택사항-     ,350,12000,32,403,0,38,12000,403,106,1.5,1.9,2.9,12396,12396,12396,1155,1033,851,7752,6288,4104,646,524,342,64,52,34,강동구
1340,서울 영등포구 영등포구,126평 , 47 개, 21 개,00 대,5천 만원,390,0,1억5천,-선택사항- ,-선택사항-     ,5000,15000,47,390,0,38,15000,390,156,1.1,1.3,1.8,18216,18216,18216,1696,1518,1250,13800,11664,8448,1150,972,704,92,77,56,영등포구
1341,서울 영등포구 00동,315, 40 개,  개,00 대,5천 만원,370,30,1억6천,-선택사항- ,-선택사항-     ,5000,16000,40,370,30,38,16000,400,133,1.5,1.8,2.5,15504,15504,15504,1444,1292,1064,10932,9108,6372,911,759,531,68,56,39,영등포구
1342,서울 강남구 강남구,108평 ,  개,  개,00 대,4천5백 만원,530,0,2억8천,-선택사항- ,-선택사항-     ,4500,28000,0,530,0,48,28000,530,100,3.2,3.9,6.2,14688,14688,14688,1368,1224,1007,8856,7128,4524,738,594,377,31,25,16,강남구
