,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하,지역
83,서울 강남구 서초동,390, 40 개, 원25 개,1 대,6천 만원,490,50,합1억9500,-선택사항- ,-선택사항-     ,6000,19500,40,490,50,48,19500,540,133,1.4,1.7,2.4,19584,19584,19584,1824,1632,1344,13812,11508,8052,1151,959,671,70,59,41,강남구
84,서울 광진구 건대,420, 42 개, 원42 개,1 대,4천 만원,475,60,합3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,475,60,39,32000,535,140,3.0,3.7,5.7,16704,16704,16704,1556,1392,1146,10572,8604,5652,881,717,471,33,26,17,광진구
85,서울 중구 명동,330, 30 개, 30 개,00 대,3 만원,220,30,합2억7천,-선택사항- ,-선택사항-     ,3,27000,30,220,30,41,27000,250,100,2.8,3.2,4.4,12540,12540,12540,1168,1045,861,9816,8340,6132,818,695,511,36,30,22,중구
86,서울 동작구 00동,200, 33 개,  개,00 대,6000 만원,300, 없음 ,36000,-선택사항- ,-선택사항-     ,6000,36000,33,300,0,38,36000,300,110,3.8,4.6,6.4,12780,12780,12780,1191,1065,877,9372,7860,5604,781,655,467,26,21,15,동작구
87,서울 강남구 00동,470, 52 개,  개,1 대,1억 만원,500,0,2억2천,-선택사항- ,-선택사항-     ,10000,22000,52,500,0,48,22000,500,173,1.1,1.3,1.7,25452,25452,25452,2371,2121,1747,20376,17376,12888,1698,1448,1074,92,78,58,강남구
88,서울 동작구 00동,465.3, 77 개,  개,00 대,5000 만원,460,0,29000,-선택사항- ,-선택사항-     ,5000,29000,77,460,0,38,29000,460,256,1.2,1.4,1.8,29844,29844,29844,2779,2487,2048,24756,21252,15984,2063,1771,1332,85,73,55,동작구
89,서울 동작구 00,330, 32 개, 32 개,1 대,4000 만원,340,0,2억2천,-선택사항- ,-선택사항-     ,4000,22000,32,340,0,38,22000,340,106,2.6,3.1,4.5,12396,12396,12396,1155,1033,851,8508,7044,4860,709,587,405,38,32,22,동작구
90,서울 강동구 00동,360, 50 개, 0 개,00 대,5000 만원,470,0,1억8000,-선택사항- ,-선택사항-     ,5000,18000,50,470,0,38,18000,470,166,1.3,1.5,2.2,19380,19380,19380,1805,1615,1330,14028,11748,8328,1169,979,694,77,65,46,강동구
91,서울 종로구 숭인동,235.14, 20 개, 20 개,X 대,6천 만원,330, 40만원 ,1억6천5백,-선택사항- ,-선택사항-     ,6000,16500,20,330,40,42,16500,370,66,3.8,4.9,9.0,8568,8568,8568,798,714,588,4344,3336,1824,362,278,152,26,20,11,종로구
92,서울 성북구 삼선동,102.35, 35 개, 5 개,X 대,4천 만원,250, 없음 ,8천,-선택사항- ,-선택사항-     ,4000,8000,35,250,0,37,8000,250,116,0.8,0.9,1.2,13200,13200,13200,1230,1100,906,10368,8808,6480,864,734,540,129,110,81,성북구
93,서울 종로구 00동,270, 33 개,  개,00 대,3000 만원,230,0,8000,-선택사항- ,-선택사항-     ,3000,8000,33,230,0,42,8000,230,110,0.7,0.8,1.1,14136,14136,14136,1316,1178,970,11712,10056,7560,976,838,630,146,125,94,종로구
94,서울 강북구 수유동,228.53, 23 개, 23 개,X 대,4천 만원,200, 없음 ,2억2천,-선택사항- ,-선택사항-     ,4000,22000,23,200,0,35,22000,200,76,3.8,4.5,6.4,8208,8208,8208,764,684,563,5856,4896,3444,488,408,287,26,22,15,강북구
95,서울 송파구 00동,0, 40 개,  개,00 대,3000 만원,180,0,9000,-선택사항- ,-선택사항-     ,3000,9000,40,180,0,42,9000,180,133,0.6,0.7,0.9,17136,17136,17136,1596,1428,1176,15396,13380,10356,1283,1115,863,171,148,115,송파구
