순번,지역,주소,인근 지하철,고시원명,빈방,총 방갯수,월세,식사 제공,주차 제공,남녀 구분,층 분리,공실률,,,지역 평균 공실률,
137,성북구,서울 성북구 오패산로 16,6호선 월곡역,하이빌고시텔 월곡점,1,36,월세  33~39,Y,N,공용,Y,2.78%,,,,
138,중랑구,서울 중랑구 사가정로 375,7호선 사가정역,우리고시원,0,27,월세  20~25,Y,1,공용,N,0.00%,,,,
139,동작구,서울 동작구 노량진로14나길 37,1호선 노량진역,가람미니홈,0,48,월세  38~30,Y,N,공용,Y,0.00%,,,,
140,종로구,서울 종로구 종로39길 20,1호선 동대문역,노블레지던스 고시텔,0,40,월세  30~45,Y,N,남성전용,N,0.00%,,,,
141,광진구,서울 광진구 아차산로21길 47,2호선 건대입구역,청전하우스 여성전용,0,32,월세  29~35,Y,N,여성전용,N,0.00%,,,,
142,성북구,서울 성북구 보문로35길 62,4호선 한성대입구역,삼웅하우스원룸텔,3,50,월세  40~60,Y,2,공용,N,6.00%,,,,
143,성북구,서울 성북구 삼선교로 6,4호선 한성대입구역,한성시티빌고시텔,0,37,월세  20~32,Y,N,공용,Y,0.00%,,,,
144,마포구,서울 마포구 월드컵로 67,6호선 망원역,루미리빙텔,0,47,월세  30~45,Y,N,공용,N,0.00%,,,,
145,마포구,서울 마포구 독막로 91,6호선 상수역,싱글하우스 홍대점,0,28,월세  40~55,Y,N,공용,Y,0.00%,,,,
146,마포구,서울 마포구 와우산로19길 26,6호선 상수역,사이공 하우스,1,45,월세  23~38,Y,2,공용,Y,2.22%,,,,
147,동작구,서울 동작구 장승배기로22길 10,7호선 장승배기역,드림앤드림,0,24,월세  51~65,Y,2,여성전용,N,0.00%,,,,
148,강남구,서울 강남구 논현로 58,신분당선 양재시민의숲역,소호원룸텔 개포점,0,30,월세  40~47,Y,3,공용,N,0.00%,,,,
149,송파구,서울 송파구 오금로11길 23,8호선 몽촌토성역,마루원룸텔,1,40,월세  30~60,Y,3,공용,N,2.50%,,,,
150,강남구,서울 강남구 강남대로 482,9호선 신논현역,스마텔고시원,0,40,월세  25~35,Y,N,공용,N,0.00%,,,,
151,강남구,서울 강남구 선릉로 657,7호선 강남구청역,늘봄고시텔,0,43,월세  20~32,Y,N,공용,N,0.00%,,,,
152,강남구,서울 강남구 언주로114길 17,9호선 선 정릉역,그린빌원룸텔,0,40,월세  24~36,Y,3,공용,N,0.00%,,,,
153,마포구,서울 마포구 와우산로 60-1,6호선 상수역,마이홈원룸텔 홍대점,1,32,월세  45~60,Y,N,공용,Y,3.13%,,,,
154,강남구,서울 강남구 선릉로 326,분당선 한티역,엘리트고시원,1,35,월세  30~45,Y,1,공용,N,2.86%,,,,
155,강남구,서울 강남구 선릉로90길 62,2호선 선 릉역,라온하우스 선릉점,1,40,월세  50~62,Y,5,공용,Y,2.50%,,,,
156,광진구,서울 광진구 광나루로 456,7호선 어린이대공원역,라온하우스 건대점 ,1,31,월세  45~65,Y,N,공용,N,3.23%,,,,
157,영등포구,서울 영등포구 가마산로 505,7호선 신풍역,모던리빙텔,0,28,월세  35~45,Y,2,공용,N,0.00%,,,,
158,종로구,서울 종로구 종로41길 48,1호선 동대문역,마이빌원룸텔,0,36,월세  35~55,Y,1,공용,Y,0.00%,,,,
159,광진구,서울 광진구 능동로39길 13,5호선 군자역,다라고시원,0,50,월세  30~35,Y,8,공용,N,0.00%,,,,
160,성동구,서울 성동구 청계천로 434 ,1호선 신설동역,쉐르빌고시텔,0,36,월세  35~55,Y,N,공용,N,0.00%,,,,
161,강남구,서울 강남구 봉은사로30길 36,9호선 언주역,아이엠티IMT하우스,1,25,월세  45~65,Y,9,공용,N,4.00%,,,,
162,서대문구,서울 서대문구 통일로9안길 38,5호선 서대문역,노블원룸텔,0,25,월세  38~50,Y,N,공용,Y,0.00%,,,,
163,성동구,서울 성동구 한림말길 48,3호선 옥수역,소호리빙텔 옥수점,0,50,월세  25~60,Y,15,공용,N,0.00%,,,,
164,강북구,서울 강북구 한천로 1000,4호선 수유역,그린하우스고시텔,1,40,월세  25~40,Y,6,공용,Y,2.50%,,,,
165,동대문구,서울 동대문구 전농로 23,5호선 답십리역,리빙캐슬 답십리점,6,49,월세  25~39,Y,N,공용,N,12.24%,,,,
166,종로구,서울 종로구 삼일대로17길 20-1,1호선 종각역,노블레스 종로,0,44,월세  40~50,Y,N,공용,Y,0.00%,,,,
167,종로구,서울 종로구 성균관로 25-1,4호선 혜화역,노블레지던스 성균관,0,40,월세  40~50,Y,N,공용,Y,0.00%,,,,
168,동작구,서울 동작구 장승배기로24길 35,1호선 노량진역,세림고시텔,1,42,월세  27~45,Y,2,공용,Y,2.38%,,,,
169,광진구,서울 광진구 아차산로 192,2호선 건대입구역,더블유 W고시텔,1,25,월세  45~53,Y,10,공용,N,4.00%,,,,
170,강남구,서울 강남구 역삼로 517,2호선 삼성역,강남원학사,0,60,월세  100~130,Y,7,남성전용,N,0.00%,,,,
171,광진구,서울 광진구 아차산로39가길 15,2호선 건대입구역,레이크 고시빌,0,60,월세  28~38,Y,10,공용,Y,0.00%,,,,
172,서초구,서울 서초구 반포대로10길 7,3호선 남부터미널역,코코리빙텔 남부터미널점,1,40,월세  30~50,Y,3,공용,Y,2.50%,,,,
173,송파구,서울 송파구 오금로 144,9호선 송파나루역,심플하우스 롯데월드점,1,45,월세  37~55,Y,2,공용,N,2.22%,,,,
174,동작구,서울 동작구 상도로60길 2,7호선 숭실대입구역,마이홈레지던스 숭실대점,0,28,월세  25~42,Y,N,공용,N,0.00%,,,,
175,종로구,서울 종로구 대학로9길 18,4호선 혜화역,베스트하우스,0,41,월세  33~40,Y,N,공용,Y,0.00%,,,,
176,서초구,서울 서초구 서초대로48길 87,2호선 교대역,라임하우스 교대점,1,45,월세  40~65,Y,9,공용,Y,2.22%,,,,
177,마포구,서울 마포구 굴레방로 11,5호선 애오개역,아톰빌리지 남성전용 고시원,0,45,월세  23~30,Y,N,남성전용,N,0.00%,,,,
178,마포구,서울 마포구 월드컵북로7길 11,6호선 망원역,미소리빙텔,1,56,월세  28~50,Y,N,공용,N,1.79%,,,,
179,은평구,서울 은평구 증산서길 122,6호선 증산역,정석고시원,0,42,월세  20~30,Y,2,공용,N,0.00%,,,,
180,강동구,서울 강동구 풍성로58길 6-1,5호선 둔촌동역,한림리빙텔,0,51,월세  25~50,Y,8,공용,N,0.00%,,,,
181,종로구,서울 종로구 창경궁로16길 6-4 ,1호선 종로5가역,푸른고시텔 종로점,0,39,월세  25~35,Y,N,공용,N,0.00%,,,,
182,노원구,서울 노원구 한글비석로20길 62,4호선 상계역,미래고시텔 중계점,1,43,월세  18~26,Y,2,공용,N,2.33%,,,,
183,노원구,서울 노원구 상계로27길 12,4호선 상계역,코지하우스 상계점,1,29,월세  38~45,Y,5,공용,N,3.45%,,,,
184,강서구,서울 강서구 강서로5나길 43,2호선 까치산역,예일고시원,0,31,월세  23~35,Y,2,공용,N,0.00%,,,,
185,서대문구,서울 서대문구 연세로7안길 42,2호선 신촌역,심플하우스 신촌역점,0,44,월세  40~60,Y,2,공용,Y,0.00%,,,,
186,서초구,서울 서초구 동광로 21,4호선 총신대입구(이수)역,방배고시원,0,28,월세  18~25,Y,5,공용,N,0.00%,,,,
187,노원구,서울 노원구 공릉로 191-9 ,7호선 공릉역,희망고시텔,1,40,월세  18~35,Y,N,공용,Y,2.50%,,,,
188,마포구,서울 마포구 신촌로14길 5,2호선 신촌역,그린고시텔,1,46,월세  20~32,Y,N,여성전용,Y,2.17%,,,,
189,서대문구,서울 서대문구 신촌로35길 7,2호선 아현역,코코리빙텔 아현점,0,32,월세  28~45,Y,2,공용,Y,0.00%,,,,
190,강남구,서울 강남구 봉은사로2길 16,9호선 신논현역,강남비바하우스,1,35,월세  35~60,Y,N,공용,Y,2.86%,,,,
