,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교
4026,서울 강남구 삼성동,420,55 개,8 개,없음 대,8000,620,사용량따라,17000,None,None
4027,서울 강남구 도곡역,500,50 개,50 개,1 대,3500,285,20,합9천,None,None
4028,서울 송파구 송파동,420,34 개,20 개,1 대,6천,590,40,합2억,None,None
4029,서울 중구 00동,580,40 개,4 개,가능 대,7500,700,20,27000,None,None
4030,서울 동작구 상도동,367,63 개,21 개,2 대,5000,620,None,1억2천만,None,None
4031,서울 구로구 구로동,300,개,개,1 대,2000만,176,None,3500만,1호선 구로역,None
4032,서울 종로구 00동,440,44 개,23 개,3 대,5000,520,없음,3억,None,None
4033,서울 구로구 00동,388.56,23 개,개,5 대,3000,500,없음,2억2천,None,None
4034,서울 마포구 00동,350,39 개,40 개,00 대,,290,None,30000,None,None
4035,서울 강남구 00동,140,48 개,26 개,3 대,5000,470,없음,1억7천,None,None
4036,서울 광진구 00동,450,개,개,00 대,2500,250,없슴,6500,None,None
4037,서울 동대문구 회기동,550,37 개,14 개,1 대,5천,550포함,None,3억2천,None,None
4038,서울 동작구 사당동,221,36 개,2 개,1 대,6300,780포함,70,3억2천,None,None
4039,서울 동작구 노량진동,300,38 개,38 개,00 대,6천,570부별,None,2억5천,None,None
4040,서울 동작구 노량진동,115.14,44 개,44 개,00 대,8000,450부별,None,2억5천,None,None
4041,서울 송파구 잠실동,370.28,37 개,37 개,1 대,6천,450부별,None,3억2천,None,None
4042,서울 관악구 봉천동,449.97,37 개,37 개,1 대,6천5백,600,없음,1억8천,None,None
4043,서울 구로구 구로동,296.26,38 개,38 개,00 대,3000,250,None,17000,None,None
4044,서울 중구 을지로3가,288.51,54 개,24 개,X 대,4천3백,385,없음,1억7천,None,None
4045,서울 송파구 잠실동,341.36,상담 개,개,1 대,2천5백,230,12만원,1억,None,None
4046,서울 양천구 목동,194.05,41 개,13 개,5 대,9천,360,100만원,2억2천5백,None,None
4047,서울 서초구 00동,330,36 개,4 개,00 대,,700,None,합,None,None
4048,서울 동대문구 00동,152.33,34 개,25 개,00 대,4천,360,None,1억5천,None,None
4049,서울 동대문구 00동,136.79,개,개,00 대,4천,450,20,3억5천,None,None
4050,서울 종로구 00동,310.5,45 개,개,1 대,8천,390,30,2억9천,None,None
4051,서울 영등포구 00동,416.13,44 개,44 개,00 대,2000,400,없슴,11500,None,None
4052,서울 동작구 00동,456,38 개,38 개,00 대,4천,320,20,2억,None,None
4053,서울 영등포구 00동,509,29 개,13 개,3 대,5천,420,30,4억,None,None
4054,서울 중구 00동,363,31 개,31 개,00 대,8000,660,None,3억3000,None,None
4055,서울 중랑구 00동,250.56,40 개,40 개,00 대,6000,420,None,2억3000,None,None
4056,서울 광진구 00동,311,55 개,개,00 대,3000,240,None,,None,None
4057,서울 동작구 00동,462,43 개,0 개,00 대,8000,450,None,23000,None,None
4058,서울 송파구 잠실동,495,37 개,0 개,00 대,6000,730,None,4억,None,None
4059,서울 구로구 구로동,360,37 개,37 개,1 대,6000,450,None,3억3천만,2호선 구로디지털역,None
4060,서울 노원구 상계동,270,42 개,42 개,1 대,5000,320,None,1억5천,None,None
4061,서울 마포구 00동,288.51,41 개,41 개,1 대,9500,760,40,19000,None,None
4062,서울 은평구 00동,420.84,37 개,12 개,00 대,,.,None,18억5천,None,None
4063,서울 동작구 00동,374,55 개,18 개,00 대,,320,None,1억,None,None
4064,서울 서초구 서초동,330,18 개,개,00 대,1억,662,160,1억8천,None,None
4065,서울 송파구 백제고분로,380,55 개,개,불가 대,6000,486,없음,1억8천,None,None
4066,서울 송파구 오금로,340.6,37 개,37 개,불가 대,6000,484,120만,2억1천,None,None
4067,서울 성북구 동선동,426.77,35 개,21 개,불가 대,6500,200,없음,3억5500,None,None
4068,서울 영등포구 대림로,427.8,40 개,19 개,불가 대,4000,343,없음,14500,None,None
4069,서울 동대문구 이문동,307.34,30 개,30 개,불가 대,3000,262,없음,1억,None,None
