,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교
2223,서울 구로구 구로동,240 , 20 개, 20 개,1 대,2천 만원, 160 , 20 ,합7천,-선택사항- ,-선택사항-     
2224,서울 동작구 노량진동,440 , 36 개, 36 개,1 대,1.5억 만원, 470 , 30 ,권리금1.8억,-선택사항- ,-선택사항-     
2225,서울 강북구 수유동,413.9 , 63 개,  개,00 대,1억 만원, 440 , 00 ,1억5천만,4호선 수유역,-선택사항-     
2226,서울 중구 00동,500 , 45 개, 44 개,1 대,4000 만원, 450 , 20 ,35000,-선택사항- ,-선택사항-     
2227,서울 구로구 구로동,166.65 , 27 개, 9 개,불가 대,5천 만원, 360 , 없음 ,1억,-선택사항- ,-선택사항-     
2228,서울 동대문구 장안동,400 , 37 개, 37 개,불가 대,7천 만원, 470 , 없음 ,3억,-선택사항- ,-선택사항-     
2229,서울 동작구 상도로,227.21 , 39 개, 27 개,불가 대,6000 만원, 550 , 없음 ,2억,-선택사항- ,-선택사항-     
2230,서울 강남구 양재대로,188.64 , 19 개, 19 개,불가 대,5000 만원, 352 , 없음 ,2억,-선택사항- ,-선택사항-     
2231,서울 강남구 00동,고시원 ,  개,  개,00 대,5000 만원, 500 , 00 ,21000,-선택사항- ,-선택사항-     
2232,서울 종로구 00동,428.64 , 40 개, 40 개,1 대,5000 만원, 520 , 별도 ,3억5천,-선택사항- ,-선택사항-     
2233,서울 구로구 00동,약150평 ,  개,  개,00 대,5000 만원, 340 , 70 ,27000,-선택사항- ,-선택사항-     
2234,서울 서대문구 00동,약150평 ,  개,  개,00 대,8000 만원, 670 , 00 ,24500,-선택사항- ,-선택사항-     
2235,서울 구로구 00동,약 100평 ,  개,  개,00 대,5000 만원, 360 , 00 ,7500,-선택사항- ,-선택사항-     
2236,서울 강동구 00동,120평 ,  개,  개,00 대,5000 만원, 550 , 00 ,31000,-선택사항- ,-선택사항-     
2237,서울 중랑구 00동,약150평 ,  개,  개,00 대,3000 만원, 320 , 00 ,21000,-선택사항- ,-선택사항-     
2238,서울 강남구 00동,약150평 ,  개,  개,00 대,7000 만원, 800 , 00 ,36000,-선택사항- ,-선택사항-     
2239,서울 종로구 00동,940 , 75 개, 75 개,00 대,1억 만원, 890 , 130 ,4억5천,-선택사항- ,-선택사항-     
2240,서울 구로구 00동,562 , 67 개, 40 개,00 대,6천 만원, 600 , 60 ,2억6천,-선택사항- ,-선택사항-     
2241,서울 동작구 00동,270 ,  개,  개,00 대,4000 만원, 490 , 사용량에 따라 부과 ,2억4000,-선택사항- ,-선택사항-     
2242,서울 관악구 00동,500 ,  개,  개,00 대,3500 만원, 350 , 없음 ,1억7000,-선택사항- ,-선택사항-     
2243,서울 강동구 길동,332.58 , 42 개, 8 개,1 대,3천 만원, 377 , 없음 ,8천,-선택사항- ,-선택사항-     
2244,서울 동작구 00동,236 , 30 개,  개,00 대,5000 만원, 300 , 00 ,35000,-선택사항- ,-선택사항-     
2245,서울 영등포구 00동,400 ,  개,  개,00 대,7000 만원, 360 , 사용량에 따라 부과 ,1억6000,-선택사항- ,-선택사항-     
2246,서울 동작구 노량진동,122.5 , 39 개, 39 개,X 대,5천 만원, 460 , 없음 ,2억7천,-선택사항- ,-선택사항-     
2247,서울 중구 00동,500 , 50 개,  개,00 대,5000 만원, 460 , 별도 ,3억7000,-선택사항- ,-선택사항-     
2248,서울 동작구 00동,217.32 , 33 개, 4 개,00 대,3000 만원, 200 , 없음 ,6000,-선택사항- ,-선택사항-     
2249,서울 성북구 00동,223.65 , 30 개,  개,00 대,4000 만원, 220 , 30만원 ,18000,-선택사항- ,-선택사항-     
2250,서울 송파구 00동,286.8 ,  개,  개,00 대,9000 만원, 470 , 00 ,17000,-선택사항- ,-선택사항-     
2251,서울 강남구 도곡동,203.85 , 19 개, 19 개,00 대,5000 만원, 325 , 00 ,2억,-선택사항- ,-선택사항-     
2252,서울 용산구 00동,663.72 , 상담 개,  개,00 대,5000 만원, 750 , 00 ,11000,-선택사항- ,-선택사항-     
2253,서울 도봉구 00동,330 , 17 개, 17 개,00 대,3000 만원, 240 , 00 ,1억6000,-선택사항- ,-선택사항-     
2254,서울 강남구 대치동,505.95 , 34 개, 4 개,00 대,4000 만원, 293 , 00 ,2억9천,-선택사항- ,-선택사항-     
2255,서울 노원구 00동,270 , 32 개, 0 개,00 대,4500 만원, 240 , 00 ,,-선택사항- ,-선택사항-     
2256,서울 강남구 00동,100 , 33 개,  개,00 대,7000 만원, 600 , 00 ,24000,-선택사항- ,-선택사항-     
2257,서울 서대문구 00동,120 , 42 개,  개,00 대,5000 만원, 450 , 00 ,28000,-선택사항- ,-선택사항-     
2258,서울 동작구 00동,381 , 54 개, 25 개,00 대,9000 만원, 515 , 00 ,35000,-선택사항- ,-선택사항-     
2259,서울 서대문구 00동,374.34 ,  개,  개,00 대, 만원, 220 , 00 ,합,-선택사항- ,-선택사항-     
2260,서울 강동구 00동,390 , 35 개, 35 개,1 대,5000 만원, 580 , 00 ,25000,-선택사항- ,-선택사항-     
2261,서울 중구 00동,500 , 45 개, 44 개,1 대,4000 만원, 450 , 20 ,35000,-선택사항- ,-선택사항-     
2262,서울 영등포구 00동,264.52 , 34 개, 30 개,00 대,7천 만원, 450 , 사용량에따라 ,1억6천,-선택사항- ,-선택사항-     
2263,서울 서초구 서초동,425.84 , 43 개, 43 개,불가 대,9000 만원, 820 , 없음 ,1억8천,-선택사항- ,-선택사항-     
2264,서울 동대문구 이문동,210.31 , 31 개, 2 개,불가 대,3000 만원, 262 , 없음 ,1억,-선택사항- ,-선택사항-     
2265,서울 송파구 백제고분로,312.73 , 30 개, 30 개,불가 대,5000 만원, 400 , 없음 ,3억2천,-선택사항- ,-선택사항-     
2266,서울 관악구 남부순환로,488 , 44 개, 44 개,1 대,7000 만원, 660 , 없음 ,3억2천,-선택사항- ,-선택사항-     
2267,서울 종로구 삼일대로,407 , 43 개, 43 개,불가 대,5000 만원, 680 , 없음` ,3억4천,-선택사항- ,-선택사항-     
2268,서울 강동구 00동,600 ,  개,  개,00 대,5000 만원, 330 , 사용량에 따라 부과 ,1억3000,-선택사항- ,-선택사항-     
2269,서울 강동구 00동,464 ,  개,  개,00 대,5000 만원, 605 , 사용량에 따라 부과 ,3억1000,-선택사항- ,-선택사항-     
2270,서울 동대문구 00동,고시원 ,  개,  개,00 대,9000 만원, 580 , 00 ,20000,-선택사항- ,-선택사항-     
2271,서울 구로구 00동,390 , 42 개,  개,00 대,4000 만원, 380 , 00 ,19000,-선택사항- ,-선택사항-     
2272,서울 광진구 00동,420 , 37 개,  개,00 대,3000 만원, 430 , 00 ,16000,-선택사항- ,-선택사항-     
2273,서울 강동구 00동,450 , 46 개,  개,00 대,6000 만원, 350 , 00 ,19000,-선택사항- ,-선택사항-     
2274,서울 송파구 00동,390 , 38 개,  개,00 대,5000 만원, 420 , 00 ,19000,-선택사항- ,-선택사항-     
