고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
서울 동작구 00동,420, 55 개,  개,00 대,4000 만원,500,0,21000,-선택사항- ,-선택사항-     ,4000,21000,55,500,0,38,21000,38,183,3.9,4.6,6.4,7224,7224,7224,672,602,495,5412,4572,3288,451,381,274,25,21,15
서울 동작구 00동,217,  개,  개,00 대,3000 만원,200, 없음 ,7000,-선택사항- ,-선택사항-     ,3000,7000,0,200,0,38,7000,38,183,3.9,4.6,6.4,7224,7224,7224,672,602,495,5412,4572,3288,451,381,274,25,21,15
서울 마포구 00동,150평 ,  개,  개,00 대,7000 만원,480,0,45000,-선택사항- ,-선택사항-     ,7000,45000,0,480,0,40,45000,38,183,3.9,4.6,6.4,7224,7224,7224,672,602,495,5412,4572,3288,451,381,274,25,21,15
서울 관악구 00동,180, 30 개,  개,00 대,4000 만원,240,0,9000,-선택사항- ,-선택사항-     ,4000,9000,30,240,0,33,9000,33,100,11.7,17,62.5,2124,2124,2124,197,177,145,768,528,144,64,44,12,8,5,1
서울 양천구 00동,294, 30 개, 30 개,00 대,4천 만원,290,30,1억5천,-선택사항- ,-선택사항-     ,4000,15000,30,290,30,35,15000,65,100,4.6,5.6,8.1,4668,4668,4668,435,389,320,3240,2688,1860,270,224,155,21,17,12
서울 동대문구 00동,120평 ,  개,  개,00 대,5000 만원,500,0,31000,-선택사항- ,-선택사항-     ,5000,31000,0,500,0,37,31000,65,100,4.6,5.6,8.1,4668,4668,4668,435,389,320,3240,2688,1860,270,224,155,21,17,12
서울 강동구 성내동,422.18, 54 개, 15 개,00 대,8000 만원,500,0,19000,-선택사항- ,-선택사항-     ,8000,19000,54,500,0,38,19000,38,180,7.3,9.3,15.5,4668,4668,4668,435,389,320,2604,2052,1224,217,171,102,13,10,6
서울 마포구 00동,410, 39 개, 39 개,00 대,1억1천 만원,540,0,3억2천,-선택사항- ,-선택사항-     ,11000,32000,39,540,0,40,32000,40,130,4,4.7,6,8916,8916,8916,831,743,612,7932,6876,5304,661,573,442,24,21,16
서울 동대문구 00동,90평 ,  개,  개,00 대,5000 만원,340,0,17000,-선택사항- ,-선택사항-     ,5000,17000,0,340,0,37,17000,40,130,4,4.7,6,8916,8916,8916,831,743,612,7932,6876,5304,661,573,442,24,21,16
서울 동대문구 00동,244,  개,  개,00 대,300 만원,3000, 2~3층/3층 ,11000,-선택사항- ,-선택사항-     ,300,11000,0,3000,0,37,11000,40,130,4,4.7,6,8916,8916,8916,831,743,612,7932,6876,5304,661,573,442,24,21,16
서울 동대문구 00동,110,  개,  개,00 대,6500 만원,505,0,7000,-선택사항- ,-선택사항-     ,6500,7000,0,505,0,37,7000,40,130,4,4.7,6,8916,8916,8916,831,743,612,7932,6876,5304,661,573,442,24,21,16
서울 동대문구 00동,422, 30중� 개,  개,5 대,7000 만원,410,0,28000,-선택사항- ,-선택사항-     ,7000,28000,30,410,0,37,28000,37,100,3.4,3.9,4.9,8916,8916,8916,831,743,612,8328,7272,5700,694,606,475,29,25,20
서울 종로구 00동,287, 60개� 개,  개,00 대,7000 만원,600,0,36000,-선택사항- ,-선택사항-     ,7000,36000,60,600,0,42,36000,42,200,3.3,3.8,5,12324,12324,12324,1147,1027,845,10860,9420,7236,905,785,603,30,26,20
서울 종로구 00동,235, 20 개,  개,44 대,6000 만원,300,0,15500,-선택사항- ,-선택사항-     ,6000,15500,20,300,0,42,15500,42,66,4.8,5.7,7.6,4032,4032,4032,376,336,277,3216,2736,2028,268,228,169,20,17,13
서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0,38,28000,38,116,3.1,3.5,4.5,9768,9768,9768,910,814,670,9072,7920,6192,756,660,516,32,28,22
서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0,38,21000,38,110,5.4,6.3,8.7,5100,5100,5100,475,425,350,3924,3324,2424,327,277,202,18,15,11
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0,42,22000,42,116,3.6,4.1,5.4,7224,7224,7224,672,602,495,6168,5328,4044,514,444,337,28,24,18
서울 서초구 이수역,130평 , 43 개,  개,00 대, 만원,650,0,3억5천,-선택사항- ,-선택사항-     ,0,35000,43,650,0,45,35000,45,143,2.4,2.8,3.5,14868,14868,14868,1385,1239,1020,14364,12612,9984,1197,1051,832,41,36,28
서울 강남구 00동,460, 48 개, 48 개,00 대,1억2천 만원,790,50,4억2천,-선택사항- ,-선택사항-     ,12000,42000,48,790,50,48,42000,98,160,3.8,4.4,5.7,12744,12744,12744,1187,1062,875,11148,9648,7404,929,804,617,26,22,17
서울 송파구 00동,313, 30 개, 30 개,00 대,5천 만원,370,30,3억2천,-선택사항- ,-선택사항-     ,5000,32000,30,370,30,42,32000,72,100,3,3.4,4.3,11472,11472,11472,1068,956,787,10752,9408,7380,896,784,615,33,29,23
서울 성동구 00동,376, 42 개, 42 개,00 대,4천 만원,470,60,3억2천,-선택사항- ,-선택사항-     ,4000,32000,42,470,60,38,32000,98,140,3.1,3.5,4.6,11892,11892,11892,1108,991,816,10440,9036,6936,870,753,578,32,28,21
서울 동작구 00동,328, 35 개, 35 개,00 대,1억5천 만원,470,30,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30,38,32000,68,116,5.5,6.4,8.6,7224,7224,7224,672,602,495,5856,5016,3732,488,418,311,18,15,11
서울 구로구 00동,462, 41 개, 41 개,00 대,5천 만원,420,30,4억1천,-선택사항- ,-선택사항-     ,5000,41000,41,420,30,36,41000,66,136,2.8,3.2,4,15300,15300,15300,1425,1275,1050,14676,12876,10176,1223,1073,848,35,31,24
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0,42,22000,42,116,3.6,4.1,5.4,7224,7224,7224,672,602,495,6168,5328,4044,514,444,337,28,24,18
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0,42,22000,42,116,3.6,4.1,5.4,7224,7224,7224,672,602,495,6168,5328,4044,514,444,337,28,24,18
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0,42,22000,42,116,3.6,4.1,5.4,7224,7224,7224,672,602,495,6168,5328,4044,514,444,337,28,24,18
서울 송파구 00동,330, 35 개, 21 개,00 대,5000 만원,470,0,2억2천,-선택사항- ,-선택사항-     ,5000,22000,35,470,0,42,22000,42,116,3.6,4.1,5.4,7224,7224,7224,672,602,495,6168,5328,4044,514,444,337,28,24,18
