고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
서울 동작구 00동,575.5, 50 개,  개,00 대,5000 만원,370,0,11500,-선택사항- ,-선택사항-     ,5000,11500,50,370,0
서울 중구 00동,284, 45 개,  개,00 대,4400 만원,320,0,10000,-선택사항- ,-선택사항-     ,4400,10000,45,320,0
서울 노원구 00동,283,  개,  개,00 대,5000 만원,300,10,5000,-선택사항- ,-선택사항-     ,5000,5000,0,300,10
서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0
서울 동대문구 00동,80평 ,  개,  개,00 대,2000 만원,300,0,15000,-선택사항- ,-선택사항-     ,2000,15000,0,300,0
서울 광진구 00동,190평 ,  개,  개,00 대,5억 만원,600,0,8억,-선택사항- ,-선택사항-     ,50000,80000,0,600,0
서울 금천구 00동,100평 ,  개,  개,00 대,5000 만원,240,0,13000,-선택사항- ,-선택사항-     ,5000,13000,0,240,0
서울 금천구 00동,110평 ,  개,  개,00 대,4천 만원,390,0,4억,-선택사항- ,-선택사항-     ,4000,40000,0,390,0
서울 서초구 00동, , 50 개,  개,00 대,1억3천 만원,800,0,4억2천,-선택사항- ,-선택사항-     ,13000,42000,50,800,0
서울 영등포구 00동,300, 47 개,  개,00 대,5천 만원,440,20,1억6천,-선택사항- ,-선택사항-     ,5000,16000,47,440,20
서울 영등포구 00동,300, 47 개,  개,00 대,5천 만원,440,20,1억6천,-선택사항- ,-선택사항-     ,5000,16000,47,440,20
서울 영등포구 00동,300, 47 개,  개,00 대,5천 만원,440,20,1억6천,-선택사항- ,-선택사항-     ,5000,16000,47,440,20
서울 영등포구 00동,300, 47 개,  개,00 대,5천 만원,440,20,1억6천,-선택사항- ,-선택사항-     ,5000,16000,47,440,20
서울 영등포구 00동,300, 47 개,  개,00 대,5천 만원,440,20,1억6천,-선택사항- ,-선택사항-     ,5000,16000,47,440,20
서울 양천구 00동,300.21, 46 개, 0 개,00 대,4000 만원,255,0,11000,-선택사항- ,-선택사항-     ,4000,11000,46,255,0
서울 마포구 00동,388.17, 52 개, 0 개,00 대,9000 만원,810,0,45000,-선택사항- ,-선택사항-     ,9000,45000,52,810,0
서울 영등포구 00동,400, 39 개,  개,00 대,1억 만원,600,0,1억6000,-선택사항- ,-선택사항-     ,10000,16000,39,600,0
서울 구로구 00동,340, 40 개, 20 개,00 대,5000 만원,400,0,1억5000,-선택사항- ,-선택사항-     ,5000,15000,40,400,0
서울 영등포구 00동,330, 40 개, 15 개,00 대,3200 만원,370,0,1억4000,-선택사항- ,-선택사항-     ,3200,14000,40,370,0
서울 관악구 00동,230, 29 개,  개,00 대, 만원,240,30,6500,-선택사항- ,-선택사항-     ,0,6500,29,240,30
서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
서울 구로구 00동,340, 40 개, 24 개,1 대,4000 만원,360, 별도 ,17000,-선택사항- ,-선택사항-     ,4000,17000,40,360,0
서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0
서울 동대문구 00동,210.31, 31 개, 6 개,00 대,3천 만원,240, 없음 ,9500,-선택사항- ,-선택사항-     ,3000,9500,31,240,0
서울 서초구 00동,404.22, 40 개, 28 개,00 대,6천 만원,520, 사용량에따라 ,1억9500,-선택사항- ,-선택사항-     ,6000,19500,40,520,0
서울 중구 00동,281.12, 37 개, 14 개,00 대,5000 만원,450,72,2억,-선택사항- ,-선택사항-     ,5000,20000,37,450,72
서울 중구 00동,126.88, 29 개, 29 개,00 대,3000 만원,220,20,2억,-선택사항- ,-선택사항-     ,3000,20000,29,220,20
서울 구로구 00동,166.65, 27 개, 12 개,00 대,5천 만원,360, 없음 ,1억,-선택사항- ,-선택사항-     ,5000,10000,27,360,0
서울 송파구 00동,166.68, 30 개, 30 개,00 대,5000 만원,400, 없음 ,2억,-선택사항- ,-선택사항-     ,5000,20000,30,400,0
서울 광진구 00동,340, 40 개, 11 개,2 대,4000 만원,420,0,2억,-선택사항- ,-선택사항-     ,4000,20000,40,420,0
서울 종로구 종각,3320, 33 개, 33 개,1 대,6000 만원,360,0,3억2천,1호선 종각역,-선택사항-     ,6000,32000,33,360,0
서울 성북구 00동,520, 47 개, 47 개,00 대,5천 만원,680,50,3억2천,-선택사항- ,-선택사항-     ,5000,32000,47,680,50
서울 동작구 00동,430, 24 개, 24 개,00 대,8천 만원,270,30,2억3천,-선택사항- ,-선택사항-     ,8000,23000,24,270,30
서울 종로구 00동,315, 36 개, 19 개,00 대,8000 만원,520,0,2억,-선택사항- ,-선택사항-     ,8000,20000,36,520,0
서울 중구 00동,320, 35 개, 35 개,1 대,5000 만원,400,0,1억9천만,-선택사항- ,-선택사항-     ,5000,19000,35,400,0
서울 송파구 00동,161.15, 25 개,  개,00 대,3000 만원,215, 없음 ,3000,-선택사항- ,-선택사항-     ,3000,3000,25,215,0
서울 영등포구 00동,380, 57 개,  개,00 대,5000 만원,385, 없음 ,13000,-선택사항- ,-선택사항-     ,5000,13000,57,385,0
서울 강동구 길동,240.3, 28 개, 17 개,X 대,3천 만원,264, 없음 ,1억7천,-선택사항- ,-선택사항-     ,3000,17000,28,264,0
서울 송파구 풍납동,155.26, 37 개, 4 개,X 대,3천5백 만원,350, 없음 ,1억5천5백,-선택사항- ,-선택사항-     ,3500,15500,37,350,0
서울 성동구 용답동,154, 32 개, 32 개,1 대,4천 만원,280, 20만원 ,2억7천,-선택사항- ,-선택사항-     ,4000,27000,32,280,20
서울 서초구 00동,275.18, 27 개, 27 개,00 대,5000 만원,420, 25만원 ,25000,-선택사항- ,-선택사항-     ,5000,25000,27,420,25
서울 중구 00동,417.6, 37 개, 37 개,00 대,6000 만원,650, 없음 ,22000,-선택사항- ,-선택사항-     ,6000,22000,37,650,0
서울 중구 을지로,279.7, 40 개, 6 개,00 대,3000 만원,350,0,12000,-선택사항- ,-선택사항-     ,3000,12000,40,350,0
서울 강북구 00동,262.98, 17 개, 17 개,00 대,3000 만원,250, 없슴 ,17000,-선택사항- ,-선택사항-     ,3000,17000,17,250,0
서울 종로구 관수동,265.12, 40 개, 40 개,00 대,7000 만원,600,0,37000,-선택사항- ,-선택사항-     ,7000,37000,40,600,0
서울 종로구 00동,175.86, 20 개,  개,00 대,4000 만원,250,0,21000,-선택사항- ,-선택사항-     ,4000,21000,20,250,0
서울 서초구 00동,0, 53 개,  개,00 대,10000 만원,520,0,22000,-선택사항- ,-선택사항-     ,10000,22000,53,520,0
서울 동작구 노량진동,253.41, 30 개, 30 개,00 대,5000 만원,300,0,35000,-선택사항- ,-선택사항-     ,5000,35000,30,300,0
서울 종로구 00동,250,  개,  개,00 대,8000 만원,520, 없음 ,1억8000,-선택사항- ,-선택사항-     ,8000,18000,0,520,0
서울 종로구 00동,244,  개,  개,00 대,3000 만원,300, 없음 ,5500,-선택사항- ,-선택사항-     ,3000,5500,0,300,0
서울 영등포구 영등포동,194.19, 39 개, 38 개,1 대,1억 만원,665, 포함 ,1억7천,-선택사항- ,-선택사항-     ,10000,17000,39,665,0
서울 광진구 00동,360, 43 개, 40 개,00 대,5000 만원,500,0,3억3000,-선택사항- ,-선택사항-     ,5000,33000,43,500,0
서울 영등포구 00동,495, 35 개, 35 개,00 대,5000 만원,450, 별도 ,,-선택사항- ,-선택사항-     ,5000,0,35,450,0
서울 동작구 00동,180, 25 개,  개,00 대,5000 만원,275,0,14000,-선택사항- ,-선택사항-     ,5000,14000,25,275,0
서울 동작구 00동,240, 40 개,  개,00 대,2000 만원,210,0,9000,-선택사항- ,-선택사항-     ,2000,9000,40,210,0
서울 강남구 00동,303.8,  개,  개,00 대,5000 만원,600,0,24000,-선택사항- ,-선택사항-     ,5000,24000,0,600,0
서울 영등포구 00동,295, 30 개,  개,00 대,4000 만원,300,0,26000,-선택사항- ,-선택사항-     ,4000,26000,30,300,0
서울 노원구 00동,500, 55 개,  개,00 대,6000 만원,680,0,30000,-선택사항- ,-선택사항-     ,6000,30000,55,680,0
서울 관악구 00동,230, 35 개,  개,00 대,5000 만원,330,0,18000,-선택사항- ,-선택사항-     ,5000,18000,35,330,0
서울 마포구 00동,. , 50 개, . 개,. 대,. 만원, . , . ,2억4천5백,2호선 홍대입구역,-선택사항-     ,0,24500,50,0,0
서울 구로구 00동,. , 39 개, . 개,. 대,. 만원, . , . ,4억6천,7호선 가산디지털역,-선택사항-     ,0,46000,39,0,0
서울 영등포구 00동,. , 40 개, . 개,. 대,. 만원, . , . ,1억1천,2호선 당산역,-선택사항-     ,0,11000,40,0,0
서울 용산구 00동,118.88, 49 개, 0 개,00 대,9000 만원,500,0,13000,-선택사항- ,-선택사항-     ,9000,13000,49,500,0
서울 구로구 00동,462, 41 개, 41 개,00 대,5천 만원,420,30,4억1천,-선택사항- ,-선택사항-     ,5000,41000,41,420,30
서울 중구 00동,298, 43 개, 39 개,2 대,7000 만원,600,0,18000,-선택사항- ,-선택사항-     ,7000,18000,43,600,0
서울 강동구 00동,422.18, 54 개, 17 개,4 대,8000 만원,500, 포함 ,2억,-선택사항- ,-선택사항-     ,8000,20000,54,500,0
서울 송파구 00동,403, 50 개,  개,00 대,4천 만원,450,50,1억7천5백,-선택사항- ,-선택사항-     ,4000,17500,50,450,50
서울 강남구 00동,332, 40 개,  개,00 대,6천 만원,470,50,1억9천5백,-선택사항- ,-선택사항-     ,6000,19500,40,470,50
서울 중구 00동,380, 42 개, 42 개,00 대,6천 만원,580,50,3억6천,-선택사항- ,-선택사항-     ,6000,36000,42,580,50
서울 송파구 00동,300, 30 개, 30 개,00 대,4천 만원,390,60,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,390,60
서울 도봉구 00동,70평 ,  개,  개,00 대,3000 만원,200,0,18000,-선택사항- ,-선택사항-     ,3000,18000,0,200,0
서울 도봉구 00동,90평 ,  개,  개,00 대,7000 만원,300,0,12000,-선택사항- ,-선택사항-     ,7000,12000,0,300,0
서울 동작구 00동,135평 ,  개,  개,00 대,9000 만원,550,0,36000,-선택사항- ,-선택사항-     ,9000,36000,0,550,0
서울 동작구 00동,90평 ,  개,  개,00 대,4000 만원,330,0,16000,-선택사항- ,-선택사항-     ,4000,16000,0,330,0
서울 구로구 00동,105평 ,  개,  개,00 대,5000 만원,420,0,1억,-선택사항- ,-선택사항-     ,5000,10000,0,420,0
서울 중구 00동,. ,  개,  개,00 대, 만원,443,0,1억8천,-선택사항- ,-선택사항-     ,0,18000,0,443,0
서울 강동구 둔촌동,373.5, 58 개, 2 개,3 대,5000 만원,330, 65만원 ,13000,-선택사항- ,-선택사항-     ,5000,13000,58,330,65
서울 성동구 00동,309.52, 41 개, 0 개,00 대,5000 만원,370,0,12500,-선택사항- ,-선택사항-     ,5000,12500,41,370,0
서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0
서울 구로구 00동,340, 40 개, 24 개,1 대,4000 만원,360, 별도 ,17000,-선택사항- ,-선택사항-     ,4000,17000,40,360,0
서울 강남구 00동,0, 44 개,  개,00 대,6000 만원,570,0,23000,-선택사항- ,-선택사항-     ,6000,23000,44,570,0
서울 관악구 00동,330, 36 개, 25 개,00 대,4000 만원,450,0,2억,-선택사항- ,-선택사항-     ,4000,20000,36,450,0
서울 은평구 00동,0, 33 개,  개,00 대,5000 만원,490,0,23000,-선택사항- ,-선택사항-     ,5000,23000,33,490,0
서울 영등포구 00동,249.9, 40 개, 0 개,00 대,3000 만원,240,10,11000,-선택사항- ,-선택사항-     ,3000,11000,40,240,10
서울 중구 00동,187, 35 개, 35 개,3 대,5000 만원,445, 없음 ,20000,-선택사항- ,-선택사항-     ,5000,20000,35,445,0
서울 관악구 00동,340, 38 개,  개,00 대,5000 만원,370,0,17000,-선택사항- ,-선택사항-     ,5000,17000,38,370,0
서울 강남구 00동,500, 48 개, 48 개,00 대,1억2천 만원,790,50,4억2천,-선택사항- ,-선택사항-     ,12000,42000,48,790,50
서울 송파구 00동,300, 30 개, 30 개,00 대,4천 만원,390,60,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,390,60
서울 성북구 00동,520,  개, 47 개,00 대,5천 만원,680,50,3억2천,-선택사항- ,-선택사항-     ,5000,32000,0,680,50
서울 강남구 00동,303.8, 40 개,  개,00 대,2500 만원,330,0,18500,-선택사항- ,-선택사항-     ,2500,18500,40,330,0
서울 서초구 00동,328.26, 27 개,  개,00 대,5000 만원,420,0,26000,-선택사항- ,-선택사항-     ,5000,26000,27,420,0
서울 중구 충무로역,330, 30 개, 30 개,00 대,3천 만원,220,30,합2억7천,-선택사항- ,-선택사항-     ,3000,27000,30,220,30
